,Max velocity (m/s),Mean velocity (m/s),Velocity Std Dev (m/s),Total Distance (m),Mean Acceleration (m/s^2),Max Acceleration (m/s^2),Acceleration Std Dev (m/s^2),Time Spent Accelerating (s),Time Spent Decelerating (s),Max Deceleration (m/s^2),Mean Deceleration (m/s^2),Number of velocity Peaks,Average velocity During Peaks (m/s),Time Spent Constant Velocity(s),Time_to_max_velocity (s),Time_to_mean_velocity (s),End Velocity (m/s),Time_to_half_velocity (s),Median_acceleration (m/s^2),Median_deceleration (m/s^2),Mini_trip,Relative_SOC_drop (%),Driver_Type_Aggressive,Driver_Type_Normal,Method_No Rest,Method_Rest and Charge,Terrain_Downhill,Terrain_Flat Plane,Terrain_Uphill,Drive_position_No Rest-1,Drive_position_No Rest-2,Drive_position_No Rest-3,Drive_position_No Rest-4,Drive_position_Rest and Charge_1,Drive_position_Rest and Charge_2,Drive_position_Rest and Charge_3,Cell_number_1,Cell_number_2,Cell_number_3
19,25.99206349206349,25.03968253968254,0.9523809523809508,858.5034013605411,0.055555555555555663,0.05555555555555567,1.5515838457795457e-17,0.0,0.0,0.05555555555555565,,0,,0.0,342.8571428571428,325.7142857142857,25.99206349206349,308.5714285714286,0.055555555555555663,,20,72.47146330573281,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False
20,26.0827664399093,25.572562358276645,0.5102040816326543,939.4002498958769,0.027777777777777842,0.02777777777777799,2.1098117413563228e-16,0.0,0.0,0.027777777777777693,,0,,0.0,348.9795918367347,330.6122448979592,26.0827664399093,312.2448979591837,0.027777777777777842,,21,83.02381470422648,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
21,22.24489795918367,21.81972789115646,0.42517006802721014,801.5410245730945,0.023148148148148105,0.02314814814814814,4.906538933386797e-17,0.0,0.0,0.02314814814814807,,0,,0.0,348.9795918367347,330.6122448979592,22.24489795918367,312.2448979591837,0.023148148148148105,,22,78.69343265898598,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
22,27.61904761904762,26.190476190476193,1.4285714285714253,897.9591836734664,-0.08333333333333343,-0.08333333333333326,2.4552312978479334e-16,0.0,0.0,-0.0833333333333336,-0.08333333333333343,0,,0.0,308.5714285714286,325.7142857142857,24.76190476190477,308.5714285714286,-0.08333333333333343,-0.08333333333333343,23,75.8462483676345,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False
23,25.99206349206349,25.03968253968254,0.9523809523809508,858.5034013605411,0.055555555555555663,0.05555555555555567,1.5515838457795457e-17,0.0,0.0,0.05555555555555565,,0,,0.0,342.8571428571428,325.7142857142857,25.99206349206349,308.5714285714286,0.055555555555555663,,24,78.91931306401949,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False
24,23.04988662131519,22.62471655328798,0.42517006802721014,831.1120366513952,-0.023148148148148105,-0.02314814814814807,4.906538933386797e-17,0.0,0.0,-0.02314814814814814,-0.023148148148148105,0,,0.0,312.2448979591837,330.6122448979592,22.19954648526077,312.2448979591837,-0.023148148148148105,-0.023148148148148105,25,75.69130860105197,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False
25,25.09637188208617,23.99092970521542,1.105442176870751,881.299458558934,-0.06018518518518533,-0.06018518518518513,2.699042425499221e-16,0.0,0.0,-0.060185185185185515,-0.06018518518518533,0,,0.0,312.2448979591837,330.6122448979592,22.88548752834467,312.2448979591837,-0.06018518518518533,-0.06018518518518533,26,83.9522238156519,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False
26,27.40362811791383,24.002267573696148,3.4013605442176793,881.7159516867973,0.18518518518518473,0.18518518518518493,2.5589376332604516e-16,0.0,0.0,0.18518518518518456,,0,,0.0,348.9795918367347,330.6122448979592,27.40362811791383,312.2448979591837,0.18518518518518473,,27,79.41894333694431,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False
27,24.8469387755102,24.591836734693874,0.25510204081632537,903.3735943356935,0.013888888888888826,0.01388888888888919,5.164146795477527e-16,0.0,0.0,0.01388888888888846,,0,,0.0,348.9795918367347,330.6122448979592,24.8469387755102,312.2448979591837,0.013888888888888826,,28,81.91243408487908,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False
28,23.04988662131519,22.62471655328798,0.42517006802721014,831.1120366513952,-0.023148148148148105,-0.02314814814814807,4.906538933386797e-17,0.0,0.0,-0.02314814814814814,-0.023148148148148105,0,,0.0,312.2448979591837,330.6122448979592,22.19954648526077,312.2448979591837,-0.023148148148148105,-0.023148148148148105,29,72.60545354542387,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False
