time(s),current(A)
31.078,7.452
31.081,7.4539
31.085,7.5791
31.088,7.8146
31.091,8.1466
31.096,8.6785
31.1,9.312
31.104,10.018
31.108,10.77
31.112,11.541
31.117,12.307
31.122,13.199
31.127,14.022
31.132,14.749
31.138,15.512
31.146,16.174
31.154,16.521
31.163,16.579
31.169,16.441
31.176,16.173
31.183,15.817
31.189,15.413
31.196,14.997
31.203,14.601
31.21,14.25
31.218,13.898
31.229,13.626
31.239,13.522
31.249,13.563
31.259,13.711
31.27,13.918
31.28,14.14
31.29,14.34
31.301,14.494
31.314,14.604
31.33,14.622
31.347,14.542
31.364,14.426
31.381,14.326
31.398,14.274
31.414,14.274
31.435,14.322
31.456,14.387
31.477,14.435
31.5,14.454
31.534,14.442
31.568,14.422
31.602,14.424
31.643,14.449
31.685,14.475
31.736,14.49
31.81,14.502
31.883,14.52
31.983,14.548
32,14.552
32,14.551
32.001,14.547
32.002,14.53
32.003,14.497
32.003,14.446
32.004,14.377
32.005,14.269
32.006,14.07
32.008,13.681
32.011,12.993
32.014,12.147
32.017,11.17
32.019,10.352
32.021,9.646
32.022,8.9124
32.024,8.1563
32.026,7.3828
32.028,6.429
32.031,5.1785
32.033,3.9286
32.036,2.6951
32.039,1.4924
32.042,0.33333
32.044,-0.77084
32.046,-1.5445
32.048,-2.2796
32.05,-2.9731
32.053,-3.9651
32.057,-5.0502
32.062,-6.0674
32.067,-6.8295
32.071,-7.3404
32.076,-7.6115
32.079,-7.6665
32.083,-7.5844
32.087,-7.3805
32.091,-7.0709
32.094,-6.6731
32.098,-6.2046
32.101,-5.7732
32.104,-5.3151
32.107,-4.8403
32.11,-4.3578
32.114,-3.8762
32.117,-3.4034
32.12,-2.9467
32.123,-2.5122
32.127,-2.0162
32.131,-1.5705
32.134,-1.1812
32.137,-0.92608
32.14,-0.70731
32.143,-0.52535
32.146,-0.38007
32.149,-0.27083
32.152,-0.19651
32.155,-0.15555
32.158,-0.14602
32.161,-0.16567
32.163,-0.21199
32.166,-0.28225
32.169,-0.37359
32.172,-0.48304
32.175,-0.60762
32.178,-0.74431
32.182,-0.93312
32.185,-1.1311
32.19,-1.3784
32.195,-1.6216
32.199,-1.8525
32.204,-2.0643
32.208,-2.2516
32.214,-2.451
32.222,-2.624
32.228,-2.7069
32.233,-2.7412
32.239,-2.7318
32.245,-2.6852
32.251,-2.6095
32.257,-2.5129
32.263,-2.4038
32.269,-2.29
32.274,-2.1785
32.28,-2.0751
32.288,-1.9636
32.295,-1.8779
32.303,-1.8205
32.31,-1.7913
32.317,-1.7876
32.325,-1.8052
32.332,-1.8385
32.34,-1.8815
32.347,-1.9287
32.354,-1.9749
32.364,-2.0273
32.374,-2.0653
32.386,-2.0888
32.399,-2.0864
32.409,-2.0692
32.419,-2.0438
32.429,-2.0155
32.44,-1.9888
32.454,-1.9608
32.471,-1.9428
32.489,-1.9415
32.5,-1.9471
32.511,-1.9545
32.527,-1.9626
32.548,-1.9659
32.575,-1.9576
32.597,-1.9445
32.619,-1.9316
32.641,-1.9225
32.673,-1.9158
32.706,-1.9122
32.738,-1.907
32.782,-1.8962
32.826,-1.8846
32.87,-1.8751
32.94,-1.8628
33,-1.8528
33,-1.8528
33.001,-1.853
33.001,-1.8538
33.001,-1.8564
33.002,-1.861
33.002,-1.8679
33.003,-1.8772
33.003,-1.8923
33.004,-1.9178
33.005,-1.96
33.006,-2.0288
33.008,-2.1446
33.01,-2.3511
33.013,-2.6991
33.017,-3.1145
33.02,-3.5833
33.023,-4.0917
33.026,-4.6272
33.029,-5.1776
33.033,-5.732
33.036,-6.3955
33.04,-7.0339
33.044,-7.6336
33.049,-8.3051
33.054,-8.884
33.06,-9.4602
33.067,-9.9402
33.073,-10.142
33.079,-10.188
33.085,-10.098
33.091,-9.898
33.097,-9.6147
33.103,-9.277
33.109,-8.9126
33.115,-8.5468
33.121,-8.2011
33.127,-7.8929
33.133,-7.6347
33.141,-7.3893
33.148,-7.2426
33.156,-7.19
33.164,-7.2192
33.171,-7.3124
33.179,-7.4489
33.187,-7.6079
33.194,-7.7702
33.202,-7.9196
33.21,-8.0443
33.22,-8.1589
33.233,-8.22
33.244,-8.2016
33.256,-8.1382
33.267,-8.0511
33.278,-7.9609
33.289,-7.8839
33.3,-7.8301
33.316,-7.7983
33.331,-7.8077
33.346,-7.8413
33.362,-7.8796
33.377,-7.9076
33.396,-7.9178
33.423,-7.8977
33.449,-7.861
33.475,-7.832
33.5,-7.8209
33.535,-7.8211
33.571,-7.8216
33.606,-7.8116
33.654,-7.7893
33.703,-7.7701
33.762,-7.7545
33.848,-7.7328
33.934,-7.7084
34,-7.6898
34.1,-7.6645
34.2,-7.6405
34.3,-7.6169
34.4,-7.5941
34.5,-7.5723
34.6,-7.5512
34.7,-7.5306
34.8,-7.5106
34.9,-7.4911
35,-7.472
35.001,-7.4711
35.002,-7.4682
35.003,-7.4565
35.004,-7.4353
35.006,-7.4044
35.007,-7.3642
35.01,-7.2734
35.015,-6.9999
35.02,-6.6453
35.025,-6.2382
35.031,-5.8053
35.036,-5.3705
35.041,-4.9545
35.047,-4.5744
35.052,-4.2433
35.057,-3.9701
35.063,-3.7602
35.068,-3.6151
35.073,-3.533
35.078,-3.5096
35.084,-3.5381
35.089,-3.6105
35.094,-3.7175
35.1,-3.8495
35.105,-3.997
35.11,-4.1512
35.116,-4.3039
35.122,-4.4783
35.128,-4.6305
35.135,-4.7536
35.144,-4.8662
35.152,-4.9201
35.161,-4.9205
35.17,-4.8782
35.178,-4.8064
35.187,-4.7194
35.196,-4.6303
35.204,-4.55
35.213,-4.4859
35.224,-4.4344
35.238,-4.4153
35.25,-4.4331
35.262,-4.4697
35.273,-4.5132
35.285,-4.5532
35.297,-4.5827
35.312,-4.6004
35.332,-4.5943
35.352,-4.5693
35.372,-4.5429
35.392,-4.5272
35.412,-4.5253
35.438,-4.5357
35.465,-4.5478
35.491,-4.5526
35.5,-4.552
35.526,-4.5464
35.563,-4.538
35.599,-4.5347
35.644,-4.536
35.7,-4.5366
35.755,-4.5335
35.846,-4.5278
35.937,-4.5239
36,-4.5216
36.001,-4.522
36.001,-4.5235
36.002,-4.5295
36.003,-4.5406
36.004,-4.5571
36.005,-4.579
36.007,-4.6237
36.01,-4.7458
36.015,-5.0028
36.02,-5.3261
36.025,-5.6931
36.03,-6.0825
36.035,-6.4752
36.04,-6.8549
36.045,-7.2077
36.051,-7.5834
36.057,-7.8903
36.064,-8.1703
36.072,-8.3245
36.079,-8.3615
36.087,-8.2988
36.095,-8.1598
36.102,-7.9706
36.11,-7.7575
36.117,-7.5441
36.125,-7.3499
36.133,-7.189
36.142,-7.0519
36.153,-6.9691
36.163,-6.971
36.173,-7.0222
36.182,-7.1048
36.192,-7.2002
36.201,-7.292
