Cars,Energy_consumption(Wh/kms),Battery arrangement,Cells in series,Cells in parallel,Nominal voltage,Power coeff,Current coeff,Single cell volts.
BMW i4 M50,179,,,,399,#DIV/0!,#DIV/0!,#DIV/0!
Mercedes EQE 500 4MATIC,179,90s4p,90,4,328,0.8002018476,0.2195675801,3.644444444
ORA Funky Cat GT,180,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Smart #1 Pulse,180,,,,,#DIV/0!,#DIV/0!,#DIV/0!
XPENG P7 AWD Performance,180,,,,,#DIV/0!,#DIV/0!,#DIV/0!
BYD HAN,180,178s1p,178,1,569,1.62742702,0.5091072225,3.196629213
e.Go e.wave X,180,,,,,#DIV/0!,#DIV/0!,#DIV/0!
NIO ET5 100 kWh,180,96s1p,96,1,358,3.017520934,0.8091676246,3.729166667
Audi Q4 Sportback e-tron 40,180,96s3p,96,3,350,1.005840311,0.2758876282,3.645833333
Kia EV6 Long Range 2WD,180,192s2p,192,2,697,0.7543802334,0.2078063197,3.630208333
Tesla Model Y Performance,181,96s46p,96,46,357,0.06596271606,0.01773787323,3.71875
Volkswagen ID.4 Pro 4MOTION,181,96s3p,96,3,350,1.011428313,0.2774203373,3.645833333
Volkswagen ID.4 Pure,182,96s2p,96,2,,1.525524472,#DIV/0!,0
Zeekr X Privilege AWD,183,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Hyundai IONIQ 5 Standard Range 2WD,183,144s2p,144,2,523,1.022604316,0.2815583586,3.631944444
NIO ET5 Touring 75 kWh,183,118s1p,118,1,386,2.495847823,0.7629793863,3.271186441
BYD ATTO 3,183,126s1p,126,1,403,2.337381295,0.7307941516,3.198412698
Audi Q4 e-tron 45,183,96s3p,96,3,350,1.022604316,0.2804857553,3.645833333
Volkswagen ID.4 GTX,183,96s3p,96,3,350,1.022604316,0.2804857553,3.645833333
Mercedes EQS 500 4MATIC,184,108s4p,108,4,396,0.6854615454,0.1869440578,3.666666667
Mercedes EQS 580 4MATIC,184,108s4p,108,4,396,0.6854615454,0.1869440578,3.666666667
MG ZS EV Long Range,185,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Honda e:Ny1,185,,,,370,#DIV/0!,#DIV/0!,#DIV/0!
MG ZS EV Standard Range,185,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Kia EV6 Long Range AWD,185,192s2p,192,2,697,0.7753352399,0.2135787174,3.630208333
Smart #1 Premium,185,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Smart #1 Pro+,185,,,,,#DIV/0!,#DIV/0!,#DIV/0!
Audi Q4 Sportback e-tron 45 quattro,186,96s3p,96,3,350,1.039368322,0.2850838825,3.645833333
Audi Q4 Sportback e-tron 55 quattro,186,96s3p,96,3,350,1.039368322,0.2850838825,3.645833333
NIO ET5 Touring 100 kWh,186,96s1p,96,1,358,3.118104965,0.8361398788,3.729166667
